shift          : 2
shipped        : 2
shiver         : 2
shivered       : 2
shook          : 2
shouldn        : 2
shows          : 2
shrimps        : 2
sign           : 2
silly          : 2
simply         : 2
sisler         : 2
slanted        : 2
slave          : 2
slice          : 2
slit           : 2
slowed         : 2
smelling       : 2
snapped        : 2
soaked         : 2
sold           : 2
solidly        : 2
spanish        : 2
spoon          : 2
spot           : 2
spurs          : 2
steering       : 2
stew           : 2
sticks         : 2
stone          : 2
stop           : 2
straightened   : 2
straw          : 2
suffer         : 2
sugar          : 2
suicide        : 2
sung           : 2
sunrise        : 2
supper         : 2
suppose        : 2
swallow        : 2
swirl          : 2
tails          : 2
thigh          : 2
thin           : 2
thirty         : 2
thoughts       : 2
threw          : 2
tide           : 2
tightened      : 2
timid          : 2
tore           : 2
touching       : 2
trailing       : 2
traps          : 2
treachery      : 2
tricks         : 2
turtle-ing     : 2
unclear        : 2
uncramped      : 2
understanding  : 2
unleashed      : 2
unless         : 2
urinated       : 2
va             : 2
village        : 2
vomit          : 2
waiter         : 2
waiting        : 2
waken          : 2
waking         : 2
wash           : 2
weapon         : 2
weaving        : 2
wedge-shaped   : 2
week           : 2
weighed        : 2
west           : 2
whatever       : 2
whether        : 2
wildly         : 2
winter         : 2
withdrew       : 2
won            : 2
worn           : 2
worried        : 2
worry          : 2
worse          : 2
writing        : 2
yard           : 2
york           : 2
aboard         : 1
absolute       : 1
absolutely     : 1
abused         : 1
accept         : 1
accident       : 1
accomplished   : 1
accord         : 1
according      : 1
acrobatics     : 1
acted          : 1
acts           : 1
actually       : 1
adams          : 1
adjusted       : 1
admit          : 1
adventures     : 1
affects        : 1
ago            : 1
agony          : 1
agreed         : 1
albacores      : 1
all-swallowing : 1
allowed        : 1
alternately    : 1
altitude       : 1
amen           : 1
anger          : 1
angle          : 1
annoy          : 1
annulled       : 1
apart          : 1
appetite       : 1
approached     : 1
aren           : 1
armour-plating : 1
art            : 1
article        : 1
ashore         : 1
athlete        : 1
attached       : 1
attract        : 1
attractiveness : 1
author         : 1
automatically  : 1
awake          : 1
awarded        : 1
awash          : 1
back-swept     : 1
backwards      : 1
bailed         : 1
bake           : 1
balance        : 1
ball           : 1
bananas        : 1
band           : 1
banded         : 1
bank           : 1
bare-footed    : 1
barefoot       : 1
barefooted     : 1
barely         : 1
barracudas     : 1
barred         : 1
base           : 1
beads          : 1
beans          : 1
bearing        : 1
beast          : 1
beasts         : 1
beating        : 1
beauty         : 1
became         : 1
beck           : 1
becomes        : 1
beers          : 1
beg            : 1
begged         : 1
begins         : 1
behaviour      : 1
believed       : 1
bending        : 1
benevolent     : 1
bent           : 1
bet            : 1
betting        : 1
bight          : 1
bind           : 1
birth          : 1
birthdate      : 1
birthplace     : 1
bit            : 1
bite           : 1
bites          : 1
bitten         : 1
blackness      : 1
bladder        : 1
blades         : 1
bled           : 1
bleed          : 1
bleeds         : 1
blew           : 1
blind          : 1
block          : 1
blurring       : 1
boar           : 1
bodega         : 1
bodies         : 1
bolt           : 1
boom           : 1
bored          : 1
bother         : 1
bottom         : 1
bound          : 1
bows           : 1
boys           : 1
brains         : 1
braked         : 1
breathe        : 1
breathing      : 1
brighter       : 1
broad          : 1
broadbill      : 1
broadside      : 1
bubbles        : 1
budshields     : 1
building       : 1
bulge          : 1
bulged         : 1
bulk           : 1
bullet         : 1
bullfighting   : 1
bumped         : 1
bumping        : 1
bumps          : 1
buoys          : 1
burn           : 1
burned         : 1
burning        : 1
burnished      : 1
burst          : 1
bursting       : 1
business       : 1
calambre       : 1
call           : 1
calloused      : 1
calmer         : 1
campeon        : 1
canary         : 1
cancer         : 1
canyon         : 1
capes          : 1
carapaced      : 1
cardel         : 1
cartilage      : 1
casablanca     : 1
cat-like       : 1
catalan        : 1
cats           : 1
caution        : 1
cautiously     : 1
ceding         : 1
center         : 1
cents          : 1
century's      : 1
certain        : 1
certainly      : 1
chairs         : 1
chalk          : 1
champion       : 1
chances        : 1
changes        : 1
charcoal       : 1
cheeks         : 1
cheerfully     : 1
chicago        : 1
chopping       : 1
chosen         : 1
churning       : 1
cigarettes     : 1
cincinnati     : 1
city           : 1
claw           : 1
cleanly        : 1
clear-headed   : 1
clearing       : 1
climbed        : 1
closest        : 1
clouding       : 1
coagulated     : 1
coal           : 1
cock           : 1
cocks          : 1
colder         : 1
colds          : 1
collected      : 1
collections    : 1
colonies       : 1
coloured       : 1
column         : 1
comfort        : 1
committed      : 1
compact        : 1
companion      : 1
comparatively  : 1
compass        : 1
comprehend     : 1
concentrations : 1
condensed      : 1
condition      : 1
confided       : 1
confused       : 1
congregated    : 1
connected      : 1
conscientiously: 1
consider       : 1
considerably   : 1
considering    : 1
constantly     : 1
contempt       : 1
contestant     : 1
contests       : 1
continue       : 1
control        : 1
conversation   : 1
convulsively   : 1
cook           : 1
cooked         : 1
coppery        : 1
cords          : 1
correctly      : 1
correspondent  : 1
cost           : 1
costs          : 1
cot            : 1
counsel        : 1
cove           : 1
crash          : 1
cream          : 1
creases        : 1
credit         : 1
crisped        : 1
cross-trees    : 1
crossing       : 1
crosswise      : 1
crouching      : 1
crowded        : 1
crumbs         : 1
cuba           : 1
cup            : 1
cure           : 1
curve          : 1
cushion        : 1
cushioned      : 1
damn           : 1
darted         : 1
dashing        : 1
de             : 1
deadly         : 1
dear           : 1
deceive        : 1
decision       : 1
deck           : 1
deep-creased   : 1
defeated       : 1
defend         : 1
definitely     : 1
descent        : 1
desert         : 1
despairing     : 1
desperation    : 1
destruction    : 1
detached       : 1
determination  : 1
dew            : 1
diarrhoea      : 1
dick           : 1
digested       : 1
dipped         : 1
direction      : 1
directions     : 1
dirt           : 1
discolouring   : 1
disgraceful    : 1
disgust        : 1
dispersed      : 1
distant        : 1
distinguished  : 1
dive           : 1
diver          : 1
dizzy          : 1
doesn          : 1
doorway        : 1
dorado         : 1
dose           : 1
doubted        : 1
dove           : 1
drained        : 1
drawing        : 1
dreams         : 1
dresses        : 1
drifting       : 1
drifting-boats : 1
drinking       : 1
drinks         : 1
drive          : 1
drives         : 1
drop           : 1
dropping       : 1
drops          : 1
drugstore      : 1
drum           : 1
drying         : 1
dubbing        : 1
ducks          : 1
dullness       : 1
durocher       : 1
dusk           : 1
duty           : 1
dying          : 1
eagle          : 1
earn           : 1
eased          : 1
easier         : 1
easterly       : 1
eden           : 1
edges          : 1
eels           : 1
effectively    : 1
eggs           : 1
eighteen       : 1
eighty-fifth   : 1
elbows         : 1
elegance       : 1
emergency      : 1
employed       : 1
encouraged     : 1
ended          : 1
endures        : 1
enemies        : 1
enjoyed        : 1
